NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"dxseapvtept007prp.nic.13376bb8-f816-4abb-8d5f-0afc48c0fe15","Network Interface","rg-sea-datax-prp-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept008prd.nic.626aee36-cabd-4cf5-b27e-775e790a2e2d","Network Interface","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept008prp.nic.9ba9a71a-a815-40d9-aa59-42f4f590e60a","Network Interface","rg-sea-datax-prp-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept009prd.nic.41f3c31c-9429-4f82-a9e8-6c7b87403c14","Network Interface","rg-sea-centralkey-datax-prd-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept009prp.nic.f0192c57-be68-47b2-9f00-e1e4b011f68f","Network Interface","rg-sea-centralkey-datax-prp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept010prd.nic.3969c0d1-b8f1-44a0-be8f-0872806f483b","Network Interface","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept010prp.nic.8d756f13-699d-42e4-b986-c61c1478c2e9","Network Interface","rg-sea-datax-prp-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept011prd.nic.2bb25f82-26ac-4e3b-a94f-134a9c9e77fe","Network Interface","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept011prp.nic.fd6b288c-e599-409a-989a-1ee48433914c","Network Interface","rg-sea-datax-prp-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept012prp-nic","Network Interface","rg-sea-datax-prp-dp-01","Southeast Asia","DATAX-PRD-01"
"dxseapvtept013prd-nic","Network Interface","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRD-001-001-SN-DATAX-PRD-01","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRD-001-002-SN-DATAX-PRD-01","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRD-001-003-SN-DATAX-PRD-01","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRD-001-003-SN-DATAX-PRD-02","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRD-001-004-SN-DATAX-PRD-01-02","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRD-001-004-SN-DATAX-PRD-03-04","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRP-001-001-SN-DATAX-PRP-01","Network security group","rg-sea-datax-prp-dp-01","Southeast Asia","DATAX-PRD-01"
"NSG-VNET-RG-SEA-DATAX-PRP-001-004-SN-01-01","Network security group","rg-sea-datax-prd-dp-01","Southeast Asia","DATAX-PRD-01"
